,Distance to the closest Airport (kms),Distance to the closest Builtup (kms),Distance to the closest roads (kms),Distance to the closest Agricultural area (kms),Distance to the closest Settlement (kms),Distance to the closest Vegetation (kms),Distance to the closest Water (kms),Distance to the closest Forest (kms),Distance to the closest Grassland (kms),Lat,Long,Australia,France,India,Italy,Japan,Philippines,Portugal,Scotland,South Africa,Spain,Thailand,Turkey,Wind speed at 50,Wind speed at 100,Wind speed at 200
70,96.6243904546875,12.170658557968748,7.192475751375,19.15890462,5.431734958781249,10.77349330246875,12.799668235968747,10.268488578468748,5.1793299799375,41.13987670531249,15.6270256753125,0,0,0,1,0,0,0,0,0,0,0,0,3.5032206250000013,3.7474162499999992,4.1708440625000005
71,11.921678466666668,51.58385368666666,1.248464335,0.4399176884666666,5.175430161,60.65727133333333,12.80810844,5.091994918666667,1.432766625,32.85359167333333,130.9809211666667,0,0,0,0,1,0,0,0,0,0,0,0,6.8186399999999985,7.220513333333334,7.374476666666666
72,10.597757518,51.356427321000005,1.55462865583,0.29601561565799994,5.7085973073,59.745662516,11.510829028,4.3349315303,0.4619155217700001,32.854933466999995,130.96621922000003,0,0,0,0,1,0,0,0,0,0,0,0,5.33065,6.015268000000002,6.621988999999999
73,97.572276,30.28189655,2.0804642461111107,4.7053945804444455,1.2386035730444442,16.342249249999995,3.019200869555556,1.3716352841,4.022405204000002,55.22307521,-4.773779441111111,0,0,0,0,0,0,0,1,0,0,0,0,7.5296111111111115,8.633463333333333,9.5416
74,99.38975517833336,12.403016198333333,4.387282315666666,1.5856477448333333,0.9792087743666666,38.09211851333333,2.2292362051666665,3.6416982353333336,0.66214739135,49.98533502499999,1.2750918208333335,0,1,0,0,0,0,0,0,0,0,0,0,6.2662200000000015,7.327853333333333,8.371605
75,182.04756947666664,13.939418335,4.527219303333333,5.665065549166667,2.8408709992333336,1.293428042876667,7.7007108620333335,9.042960420766669,16.686708929000005,41.76687193266665,-1.2646787506333332,0,0,0,0,0,0,0,0,0,1,0,0,6.434476666666668,7.284115000000003,8.248064999999999
76,180.05428594666665,14.189989128333336,3.3638201921166684,5.0858321196833325,3.0919855254,2.398183050431666,6.620232953266666,7.59427842741667,16.62178132266667,41.783753882000006,-1.2732212606333333,0,0,0,0,0,0,0,0,0,1,0,0,6.265236166666666,7.182805666666668,8.174717666666666
77,9.667863957222222,12.525161051111109,0.7412488250111111,1.6182101743333337,1.4914762368222219,10.116623685333332,10.793992263333335,1.4667040585555555,4.330351573444444,36.499369875555566,36.207599701111114,0,0,0,0,0,0,0,0,0,0,0,1,6.1980555555555545,6.382052222222224,6.404841111111112
78,126.97017925,20.172780115,4.503843583,1.4560301695,5.448191607999999,3.1428710339999997,1.0062750654000001,0.7568282376000001,1.4416853669999998,57.50468796999999,-4.54621444,0,0,0,0,0,0,0,1,0,0,0,0,5.5421,6.720095,8.185855
81,112.93482511666666,18.13208213,5.4154621060000006,2.042721964833333,4.357916041499999,24.948285628333334,23.523999879999995,4.627074047000001,1.1708817205,49.471399,1.6424027871666669,0,1,0,0,0,0,0,0,0,0,0,0,5.956956666666668,7.166026666666667,8.203014999999999
82,95.49567206852943,11.854460057647056,3.428725822500001,2.0226866502352943,3.1265739626764706,29.064252613529412,12.806628778823528,2.0975127035588232,0.7169936243561764,40.75121124,15.769768589705878,0,0,0,1,0,0,0,0,0,0,0,0,4.1415267647058815,4.509128235294118,5.012873235294118
83,72.84145336207794,68.05749107811688,5.628427890207792,10.998546651240261,3.521438372694808,18.013880623116886,2.7400525780220764,2.323045606887661,11.19366579298701,8.985277206623381,77.34065829798702,0,0,1,0,0,0,0,0,0,0,0,0,7.316631883116879,9.317527532467537,9.317527532467537
84,8.723575416222223,7.19249127411111,1.8711662174444448,6.994306611,2.3603237535555563,49.07575552111112,1.873038702222222,1.5654565316999998,8.476306387444446,40.35710172666667,27.88926581,0,0,0,0,0,0,0,0,0,0,0,1,7.052166666666667,8.074296666666667,8.526176666666666
85,100.89109021166668,11.212876927333332,3.660588895966668,0.7372103213293333,4.400728121333334,22.228399535333338,17.58514145,4.064633685666666,0.5763025512166665,42.851373374000005,-2.8626971157333334,0,0,0,0,0,0,0,0,0,1,0,0,6.2044630000000005,7.033339333333332,7.953720666666666
86,9.55945908589474,11.210490498421054,6.3233859483157895,1.2221459531157894,2.4484357594210526,11.248960761947368,9.925950117263156,0.4649826035842105,2.2025098132105265,38.03559894684211,15.752085565263162,0,0,0,1,0,0,0,0,0,0,0,0,3.134786842105264,3.512944210526316,3.9040778947368415
87,22.8384591563158,21.57638396157895,5.626239990999999,1.3404888019421055,5.827282557526315,11.900703746526313,19.11583083578948,2.1113402770210516,14.944689688947367,37.71902525736842,27.66656628789474,0,0,0,0,0,0,0,0,0,0,0,1,5.710141578947369,6.220842631578948,6.825707368421052
88,87.41272298818183,59.80781867727273,5.514880733818182,1.8909226215454549,2.2326157549999994,9.148371576,19.170504750909085,0.8290730335272727,14.023673119090908,39.58836939818182,-8.574850398909094,0,0,0,0,0,0,1,0,0,0,0,0,5.843964545454545,6.7790563636363625,7.420515454545455
89,24.890314830476193,15.37050709190476,5.027496998428572,14.467150055238097,2.654554240142857,64.95528191952383,6.198256023333334,24.627071556666664,23.687914274761912,41.10536308904762,27.626727280952387,0,0,0,0,0,0,0,0,0,0,0,1,5.137443809523808,6.127852857142859,6.9125547619047625
90,15.298874490588233,70.59901891470588,4.727895021823528,7.798283157058824,7.933782824823529,21.60173852705882,4.944174040705882,1.7442795142941174,3.7238366392941176,-38.79941038117648,145.91420284705885,1,0,0,0,0,0,0,0,0,0,0,0,6.497911764705883,7.794185294117647,9.218352941176471
91,12.862435201666665,71.19257069500001,4.394412842166666,6.6110078493333315,7.272736514000001,20.406046666666672,7.198378095999999,1.5682828505000002,4.274165953000002,-38.78433999,145.9346147,1,0,0,0,0,0,0,0,0,0,0,0,6.901839999999999,7.9451633333333325,9.221293333333335
92,9.276903304392855,71.02365082392858,2.4146697236785717,7.6825913103214285,8.726880141214286,19.609029691428567,9.4725289685,1.6876741470678571,6.3548178522857155,-38.75069539821429,145.95700644642858,1,0,0,0,0,0,0,0,0,0,0,0,6.976797142857143,7.947845357142858,9.074160357142857
94,15.54668261232836,15.003156183761188,1.3401372749319396,1.2439727167017909,4.822214065402983,54.390555363880615,2.5079844565417915,3.1056319617447765,5.345307907837314,40.368415990000024,28.147569142985066,0,0,0,0,0,0,0,0,0,0,0,1,7.593259104477612,8.542538059701492,9.194928208955222
95,40.965523958333335,35.60099584833333,2.4914294236666668,1.3085868852666669,13.484859318333333,2.766707523166667,1.20838664655,1.9616201476666664,32.13687523666667,18.52224410333333,120.686224,0,0,0,0,0,1,0,0,0,0,0,0,8.681849999999999,9.469956666666667,10.070738333333333
